,School,FullAddress,Latitude,Longitude
195,"St Louis Secondary School, Monaghan, ","Mullaghmonaghan, Monaghan, Ireland",54.2449085,-6.972751199999999
196,"Colaiste Cholmain, Claremorris, Co Mayo","Knock Rd, Castlegar, Claremorris, Co. Mayo, Ireland",53.73513149999999,-8.9808415
197,"Meanscoil na mBraithre Criostai, James Street, Kilkenny","James's St, Gardens, Kilkenny, Ireland",52.6530261,-7.256154199999999
198,"Rathmines College, Rathmines, Dublin 6","Townhall, Rathmines, Dublin 6, Ireland",53.3240796,-6.2652375
199,"John Scottus Secondary School, Donnybrook, Dublin 4","47-49 Northumberland Rd, Ballsbridge, Dublin 4, D04 R128, Ireland",53.3344637,-6.2373238
200,"St Dominic''s College, Cabra, Dublin 7","Ratoath Rd, Ashtown, Dublin 7, D07 NX47, Ireland",53.3714993,-6.3075605
201,"St Macartan''s College, Monaghan, ","Mullamurphy, Co. Monaghan, Ireland",54.2639066,-6.9562484
202,"Portmarnock Community School, Portmarnock, Co Dublin","Carrickhill Rd Upper, Carrickhill, Portmarnock, Co. Dublin, Ireland",53.431772,-6.137490000000001
203,"The Intermediate School, Killorglin, Co Kerry","Killorglin Intermediate School, Iveragh Rd, Castleconway, Killorglin, Co. Kerry, Ireland",52.1070849,-9.795216
204,"Drogheda Grammar School, Drogheda, Co Louth","Mornington Rd, Stameen, Drogheda, Co. Meath, Ireland",53.7185462,-6.303513400000001
205,"Ballinamore Community School, Ballinamore, Co Leitrim","R202, Kildorragh, Co. Leitrim, Ireland",54.0582796,-7.7926755
206,"Pobalscoil Inbhear Sceine, Kenmare, Co Kerry","Railway Rd, Kenmare, Co. Kerry, V93 K580, Ireland",51.8821731,-9.583001699999999
207,"Franciscan College, Gormanston, Co Meath","Gormanston, Co. Meath, Ireland",53.6344819,-6.2358322
208,"St Joseph''s Secondary School, Miltown Malbay, Co Clare","Saint Joseph's National School, Mullagh Rd, Leagard North, Miltown Malbay, Co. Clare, Ireland",52.8531247,-9.4026556
209,"St Mary''s Secondary School, Charleville, Co Cork","St Mary's Secondary School, Rathgoggan Middle, Co. Cork, Ireland",52.3543921,-8.6866722
210,"St Mary''s Secondary School, Edenderry, Co Offaly ","Edenderry, Co. Offaly, Ireland",53.3398252,-7.0598529
211,"Scoil Pol, Kilfinane, Co Limerick","Kilfinnane, Kilfinane, Co. Limerick, Ireland",52.3616468,-8.472034899999999
212,"St Brigid''s School, Tuam, Co Galway","Dublin Rd, Townparks (3rd Division), Tuam, Co. Galway, H54 F202, Ireland",53.5128392,-8.8478484
213,"St Finian''s College, Mullingar, Co Westmeath","Longford Rd, Ballyglass, Mullingar, Co. Westmeath, Ireland",53.5397016,-7.355172699999999
214,"St Raphael''s College, Loughrea, Co Galway","Cross St, Farranalynch, Loughrea, Co. Galway, Ireland",53.19990420000001,-8.5609795
215,"Meanscoil Na mBraithre, Ennistymon, Co Clare","Saint Joseph's Christian Brother's School, Monastery Ln, Deerpark Middle, V95 W880, Co. Clare, Ireland",52.941792,-9.2895743
216,"Skerries Community College, Skerries, Co Dublin","Townparks, Skerries, Co. Dublin, Ireland",53.5792175,-6.115860899999999
217,"Colaiste Pobail Setanta, Dublin 15, ","Phibblestown Wood, Clonsilla, Dublin 15, Ireland",53.39775729999999,-6.4348173
218,"St Leo''s College, Dublin Road, Carlow","Old Dublin Rd, Graigue, Carlow, R93 R5X5, Ireland",52.839996,-6.9274908
219,"Colaiste Muire, Crosshaven, Co Cork","Coláiste Muire, Crosshaven, Co. Cork, Ireland",51.801271,-8.2981646
220,"Colaiste Ailigh, Letterkenny, Co Donegal","Knocknamona, Letterkenny, Co. Donegal, Ireland",54.9627237,-7.724127199999999
221,"Newpark Comprehensive School, Blackrock, Co Dublin","Newtownpark Ave, Newtown Castlebyrn, Blackrock, Co. Dublin, Ireland",53.28988760000001,-6.173119
222,"Newtown School, Waterford (B), ","Newtown Rd, Waterford, Ireland",52.25189899999999,-7.101043799999999
223,"Ballincollig Community School, Ballincollig, Co Cork","Innishmore, Ballincollig, Co. Cork, Ireland, Ballincollig, Co. Cork, Ireland",51.890044,-8.6023365
224,"St Michael''s College, Listowel, Co Kerry","St. Michael's College, Listowel, Co. Kerry, N69, Ballygowloge, Co. Kerry, Ireland",52.4475421,-9.4760996
225,"Clonkeen College, Blackrock, Co Dublin","Clonkeen Rd, Deansgrange, Blackrock, Co. Dublin, Ireland",53.2698715,-6.1571744
226,"Patrician Academy, Mallow, Co Cork","The Bowling Green, White St, Mallow Road, Mallow, Co. Cork, Ireland",52.13925769999999,-8.644550700000002
227,"St Attracta''s Community School, Tubbercurry, Co Sligo","Ballyara, Tubbercurry, Co. Sligo, Ireland",54.05341130000001,-8.7604927
228,"Scoil Mhuire Community School, Clane, Co Kildare","Prosperous Rd, Crockaun Commons, Clane, Co. Kildare, W91 PD79, Ireland",53.29182249999999,-6.698033799999999
229,"Scoil Mhuire, Ballinasloe, Co Galway","Scoil Mhuire, Shannonbridge Rd, Kilgarve, Ballinasloe, Co. Galway, Ireland",53.3280519,-8.201177699999999
230,"Loreto College, Mullingar, Co Westmeath","Harbour Rd, Commons, Mullingar, Co. Westmeath, N91 PX98, Ireland",53.5297874,-7.346506000000001
231,"Our Lady''s College, Drogheda, Co Louth","Greenhills, Drogheda, Co. Louth, Ireland",53.7202731,-6.3269481
232,"Ursuline College, Sligo, 5Ursuline College","F91 FW54 Ursuline Convent, Finisklin Rd, Cartron, Sligo, Ireland",54.276431,-8.4877887
233,"Assumption Secondary School, Walkinstown, Dublin 12","62 Walkinstown Rd, Walkinstown, Dublin 12, D12 P3F6, Ireland",53.3225312,-6.331985299999999
234,"Ashbourne Community School, Deerpark, Co Meath ","Dublin Road, 1 Deerpark, Archerstown, Ashbourne, Co. Meath, Ireland",53.5041275,-6.388115200000001
235,"Loreto College, Swords, Co Dublin","River Valley, Swords, Co. Dublin, Ireland",53.454323,-6.2456039
236,"St Joseph''s Secondary School, Navan, Co Meath","Convent of Mercy, Brews Hill, Dillonsland, Navan, Co. Meath, C15 HW32, Ireland",53.6502756,-6.688175299999999
237,"St Augustine''s College, Dungarvan, Co Waterford","Abbeyside, Dungarvan, Co. Waterford, Ireland",52.100178,-7.591895999999998
238,"Mean Scoil Mhuire, Longford , ","5 St Joseph's Rd, Deanscurragh, Longford, Ireland",53.7254726,-7.7956046
239,"Meanscoil Gharman, Enniscorthy, Co Wexford","Brownswood House, Brownswood, Enniscorthy, Co. Wexford, Ireland",52.4733379,-6.5580411
240,"St Kevin''s Community College, Dunlavin, Co Wicklow","Saint Kevin's Community College, Pound Rd, Dunlavin Upper, Dunlavin, Co. Wicklow, Ireland",53.0543708,-6.6967596
241,"St Joseph''s CBS, Nenagh, Co Tipperary","Summerhill, Nenagh North, Nenagh, Co. Tipperary, Ireland",52.8665478,-8.193019399999999
242,"Manor House, Raheny, Dublin 5","Watermill Rd, Raheny - St. Assam, Dublin, Ireland",53.3785542,-6.1729941
243,"Clonakilty Community College, Clonakilty, Co CorkCorkM46.785.65453211.5023-88338","Scartagh, Clonakilty, Co. Cork, P85 E099, Ireland",51.62481080000001,-8.887062199999999
244,"St Angela''s Ursuline Convent, Waterford, ","Ballytruckle Rd, Waterford, Ireland",52.24594949999999,-7.113759099999999
245,"St Patrick''s Cathedral GS, St Patrick''s Close, Dublin 8","St Patrick's Close, Dublin 8, A96 P599, Ireland",53.3395154,-6.2714767
246,"Colaiste na Sceilge, Caherciveen, Co Kerry","Cahersiveen, Garranebane, Cahirciveen, Co. Kerry, Ireland",51.9401427,-10.2408435
247,"Royal School Cavan, Cavan (B), ","College St, Tullymongan Upper, Cavan, Ireland",53.9844935,-7.361756600000001
248,"Scoil Chriost Ri, Portlaoise, Co Laois","Borris Rd, Ratheven, Portlaoise, Co. Laois, Ireland",53.0487946,-7.2801655
249,"Ursuline Secondary School, Blackrock, Cork","Blackrock, Cork, Ireland",51.8955772,-8.415755899999999
250,"Carrick Vocational School, Carrick, Co Donegal","Carrick Vocational School, Carrick Lower, Co. Donegal, Ireland",54.6553208,-8.6331113
251,"The Abbey School, Station Road, Tipperary","Station Rd, Town Lot, Tipperary, Ireland",52.4716694,-8.160592099999999
252,"Jesus & Mary Secondary School, Crossmolina, Co Mayo","507 Mulberry St, Independence, KS 67301, USA",37.2467307,-95.7122751
253,"Colaiste Cholmain, Fermoy, Co Cork","Fermoy, Co. Cork, Ireland",52.13622059999999,-8.2783971
254,"Mercy Secondary School, Inchicore, Dublin 8","Thomas Davis St W, Inchicore, Dublin, Ireland",53.3373353,-6.3218796
255,"Luttrelstown Community College, Co Dublin, ","Porterstown Road, Clonsilla, Annfield, Dublin 15, Co. Dublin, Ireland",53.3753316,-6.4088352
256,"Scoil Mhuire, Strokestown, Co Roscommon","Strokestown, Lisroyne, Strokestown, Co. Roscommon, Ireland",53.7774271,-8.1123617
257,"John The Baptist Community School, Hospital, Co Limerick ","Hospital, Barrysfarm, Hospital, Co. Limerick, Ireland",52.4735323,-8.434838
258,"Davitt College, Castlebar, Co Mayo","Springfield, Castlebar, Co. Mayo, F23 VY15, Ireland",53.8571589,-9.2903781
259,"St Aloysius'' School, St Maries of the Isle, Cork","9 Sharman Crawford St, The Lough, Cork, Co. Cork, T12 RK03, Ireland",51.8957282,-8.4818746
260,"Gaelcholaiste Mhuire, North Monastery Road, Cork","Gaelcholáiste Mhuire, N Monastery Rd, Cork, Ireland",51.9092245,-8.480672199999999
261,"Colaiste Muire, Ballymote, Co Sligo","Convent of Mercy, Carrowcauly, Ballymote, Co. Sligo, Ireland",54.0939456,-8.5138488
262,"Community School, Carrick-on-Shannon, Co Leitrim","2-12 Glen Carrick, Summerhill, Carrick-On-Shannon, Co. Leitrim, N41 XE09, Ireland",53.94903799999999,-8.085044
263,"Beara Community School, Beara, Co Cork","Beara Community School, Cametringane, Castletown-Bearhaven, Co. Cork, Ireland",51.6476511,-9.9135981
264,"Scoil Mhuire, Kanturk, Co Cork","Greenfield Rd, Kanturk, Co. Cork, Ireland",52.178266,-8.9116213
265,"Heywood Community School, Ballinakill, Co Laois","Haywood Demesne, Ballinakill, Co. Laois, Ireland",52.8854675,-7.2994619
266,"Holy Family Secondary School, Newbridge, Co Kildare","Naas Rd, Littleconnell, Newbridge, Co. Kildare, W12 YD71, Ireland",53.18322380000001,-6.789972799999999
267,"Gort Community School, Gort, Co Galway","Ennis Rd, Gortstuckanagh, Gort, Co. Galway, Ireland",53.0615103,-8.8112481
268,"St Aidan''s CBS, Whitehall, Dublin 9","Collins Ave, Whitehall, Dublin, Ireland",53.3846085,-6.251766399999999
269,"Colaiste Pobail Rath Cairn, Athboy, Co Meath (G)","Rathcarran, Clifton, Co. Meath, C15 FK26, Ireland",53.6200683,-6.860761999999999
270,"Colaiste Chriost Ri, Capwell Road, Cork","Capwell Rd, Turners Cross, Cork, Ireland",51.88958470000001,-8.4646216
271,"Mercy Secondary School, Tralee, Co Kerry","R551, Mounthawk, Tralee, Co. Kerry, Ireland",52.28358619999999,-9.724129
272,"Mountrath Community School, Co Laois, ","Dysartbeigh, Dysartbeagh, Mountrath, Co. Laois, Ireland",52.995324,-7.4812815
273,"Boyne Community School, Trim, Co Meath ","Dublin Rd, Trim, Co. Meath, Ireland",53.550757,-6.784501
274,"Mary Immaculate Secondary School, Lisdoonvarna, Co Clare","Lisdoonvarna, Rathbaun, Lisdoonvarna, Co. Clare, Ireland",53.0305019,-9.2898619
275,"Clifden Community School, Clifden, Co Galway","Ardbear, Clifden, Co. Galway, Ireland",53.4784388,-10.0218035
276,"St Mary''s College, Arklow, Co Wicklow","St Mary's Rd, Abbeylands, Arklow, Co. Wicklow, Ireland",52.79526809999999,-6.157956899999999
277,"St Anne''s Secondary School, Rosanna Road, Tipperary","Rosanna Rd, Carrownreddy, Tipperary, Ireland",52.47842,-8.162647
278,"Moate Community School, Church Street, Co Westmeath","Church St, Aghanargit, Moate, Co. Westmeath, N37 DY70, Ireland",53.3967393,-7.7260493
279,"Our Lady of Lourdes Secondary School, New Ross, Co Wexford","Co. Wexford7, 7 Upper, Upper Rosbercon, Thomastown Rd, Rosbercon, New Ross, Co. Wexford, Y34 FT82, Ireland",52.3985154,-6.9530036
280,"Scoil Muire agus Padraig, Swinford, Co Mayo","1 Church View, Swineford, Swinford, Co. Mayo, F12 K729, Ireland",53.9419276,-8.9522376
281,"Colaiste Phadraig CBS, Lucan, Co Dublin","Roselawn, Ballydowd, Lucan, Co. Dublin, Ireland",53.3568794,-6.432607
282,"St Louis Secondary School, Dundalk, Co Louth","Castletown Rd, Castletown, Dundalk, Co. Louth, Ireland",54.0170012,-6.426256400000001
283,"Sancta Maria College, Ballyroan, Dublin 16","Ballyroan, Rathfarnham, Dublin 16, Ireland",53.2844396,-6.304447
284,"Donabate Community College, Donabate, Co Dublin","Ballisk Common, Donabate, Co. Dublin, Ireland",53.4899919,-6.145870899999999
285,"Scoil Mhuire, Carrick-on-Suir, Co Tipperary","Greenhill, Carrick-On-Suir, Co. Tipperary, E32 WN66, Ireland",52.3504642,-7.4014202
286,"St Declan''s College, Cabra, Dublin 7","Nephin Rd, Cabra West, Dublin 7, Ireland",53.3665733,-6.3031375
287,"Wilson''s Hospital School, Multyfarnham, Co Westmeath (B)","Heathland, Co. Westmeath, N91 AX97, Ireland",53.61261529999999,-7.418688400000001
288,"Mean Scoil an Chlochair, Kilbeggan, Co Westmeath","Kilbeggan, Co. Westmeath, Ireland",53.3675844,-7.4931893
289,"Presentation Secondary School, Ballingarry, Co Tipperary","Ballingarry, Ballingarry Lower, Ballingarry, Co. Tipperary, Ireland",52.5897416,-7.565555399999999
290,"Colaiste Bride, Clondalkin, Dublin 22","22 New Rd, Bushelloaf, Clondalkin, Co. Dublin, D22 C6Y2, Ireland",53.3206319,-6.392970999999999
291,"Cross And Passion College, Kilcullen, Co Kildare","Kilcullen, Kilcullenbridge, Kilcullen, Co. Kildare, Ireland",53.1302052,-6.7467934
292,"St Michael''s Community College, Kilmihill, Co Clare","Saint Michael's Community College, Newtown, Kilmihil, Co. Clare, Ireland",52.7248033,-9.3211622
293,"Presentation Secondary School, Miltown, Killarney","New St, Monearmore, Killarney, Co. Kerry, Ireland",52.0585011,-9.515911
294,"Scariff Community College, Scariff, Co Clare","Drewsborough, Scarriff, Co. Clare, V94 Y9W2, Ireland",52.9027336,-8.5359141
295,"Loreto Convent Secondary School, Letterkenny, Co Donegal","Church Ln, Letterkenny, Co. Donegal, Ireland",54.94968919999999,-7.7411439
296,"Gorey Community School, Esmonde Street, Gorey","Esmonde St, Mill Lands, Gorey, Co. Wexford, Ireland",52.6731779,-6.2876501
297,"Colaiste Mhuire, Dublin 7\n, ","7 Ratoath Rd, Cabra West, Dublin, D07 CY97, Ireland",53.3621764,-6.2979091
298,"Kinsale Community School, Kinsale, Co Cork","kinsale community school, Ballynacubby, Kinsale, Co. Cork, Ireland",51.70442809999999,-8.530442899999999
299,"Colaiste Iosaef, Kilmallock, Co Limerick","Sheares St, Abbeyfarm, Kilmallock, Co. Limerick, Ireland",52.4043212,-8.5781852
300,"Ennis Community College, Ennis, Co Clare","Harmony Row, Lifford, Ennis, Co. Clare, Ireland",52.84690879999999,-8.9870622
301,"CBS Roscommon, Abbeytown, Roscommon","Abbeytown, Ballypheasan, Roscommon, Co. Roscommon, Ireland",53.62656699999999,-8.19538
302,"Coláiste Íde agus Iosef, Abbeyfeale, Co Limerick","Convent St, Abbeyfeale West, Abbeyfeale, Co. Limerick, Ireland",52.3863935,-9.296148299999999
303,"St Caimin''s Community School, Tullyvarraga, Co Clare","Tullyvarraga, Shannon, Co. Clare, Ireland",52.70536509999999,-8.8627477
304,"Colaiste Mhuire, Askeaton, Co Limerick","Church St, Askeaton, Co. Limerick, Ireland",52.60019279999999,-8.969714
305,"Cashel Community School, Cashel, Co Tipperary","3a Bishop's Ave, St. Francisabbey, Co. Tipperary, Ireland",52.5190242,-7.880995700000001
306,"Carrigaline Community School, Carrigaline, Co Cork","Waterpark, Carrigaline Middle, Carrigaline, Co. Cork, P43 TX65, Ireland",51.8180177,-8.3865783
307,"Scoil Phobail Sliabh Luachra, Rathmore, Co Kerry","Rath More, Rathmore, Co. Kerry, Ireland",52.0797199,-9.246451799999999
308,"Gairmscoil Fheichin Naofa, Corr na Mona, Co Galway (G)","Cornamona, Co. Galway, Ireland",53.5133372,-9.451209
309,"St Cuan''s College, Castleblakeney, Ballinasloe","Castleblakeney National School, Ballinasloe, Castleblakeney, Co. Galway, Ireland",53.42894099999999,-8.4729768
310,"Colaiste Mhuire, Buttevant, Co Cork","Station Rd, Creggane, Co. Cork, Ireland",52.2362182,-8.6772107
311,"St Mary''s CBS, Enniscorthy, Co Wexford","Mill Park Rd, Enniscorthy, Co. Wexford, Ireland",52.49736040000001,-6.5690937
312,"Colaiste Mhuire, Ballygar, Co Galway","Lower Main St, Tullyroe, Ballygar, Co. Galway, Ireland",53.5243338,-8.3215176
313,"Portumna Community School, Portumna, Co Galway","St Brigids Rd, Fairyhill, Portumna, Co. Galway, Ireland",53.0940952,-8.2200886
314,"St Mary''s Secondary School, Glasnevin, Dublin 11","Old Finglas Rd, Glasnevin, Dublin 11, Ireland",53.3761994,-6.2726919
315,"Glenamaddy Community School, Glenamaddy, Co Galway","Glenamaddy Community School, Church St, Glenamaddy, Co. Galway, Ireland",53.6074467,-8.565852399999999
316,"Rockbrook Park School, Rathfarnham, Dublin 16","16 Edmondstown Rd, Rathfarnham, Dublin 16, Ireland",53.262671,-6.300305
317,"Presentation College, Headford, Co Galway","Headford, Co. Galway, Ireland",53.4683378,-9.1110104
318,"St Paul''s Secondary School, Greenhills, Dublin 12","Limekiln Ln, Greenhills, Dublin, D12 E544, Ireland",53.3089898,-6.3304914
319,"Marist College, Athlone, Co Westmeath","Retreat Rd, Cannonsfield, Athlone, Co. Westmeath, Ireland",53.4251522,-7.925891600000001
320,"Salesian Secondary College, Pallaskenry, Co Limerick","Don Bosco Road, Ballydoole, Pallaskenry, Co. Limerick, V94 WP86, Ireland",52.6475376,-8.8577807
321,"Presentation Secondary School, Grogan''s Road, Co Wexford","Grogan's Rd, Slippery Green, Wexford, Co. Wexford, Y35 XV70, Ireland",52.3358143,-6.4644837
322,"Colaiste Chiarain, Croom, Co Limerick","High St, Tooreen, Croom, Co. Limerick, Ireland",52.5208434,-8.713801199999999
323,"CBS Secondary School, Tralee, Co Kerry","Cloonalour, Tralee, Co. Kerry, Ireland",52.27299679999999,-9.6994739
324,"Patrician High School, Carrickmacross, Co Monaghan","Rockdaniel Rd, Cloghvally Upper, Carrickmacross, Co. Monaghan, Ireland",53.98260209999999,-6.715660499999999
325,"St Joseph''s Secondary School, Tulla, Co Clare","Tulla, Co. Clare, Ireland",52.863721,-8.761016
326,"Ardscoil na Trionoide, Athy, Co Kildare  ","1 Lower St Joseph's Terrace, Athy, Co. Kildare, Ireland",52.9946645,-6.984125499999999
327,"Hazelwood College, Dromcollogher, Co Limerick","Hazelwood College, Kells, Dromcolliher, Co. Limerick, Ireland",52.3433302,-8.9033912
328,"Summerhill College, Sligo, 6Summerhill College","Summerhill, Crannagh, Athlone, Co. Roscommon, Ireland",53.40930299999999,-7.987386799999999
329,"Coolmine Community School, Clonsilla, Dublin 15","Coolmine Cl, Clonsilla, Blanchardstown, Dublin 15, D15 PRX8, Ireland",53.3886899,-6.39567
330,"Colaiste Choilm, Tullamore, Co Offaly","Tullamore, Co. Offaly, Ireland",53.27043519999999,-7.4904158
331,"Ardscoil Mhuire, Corbally, Limerick","Corbally, Limerick, Co. Limerick, V94 X2TW, Ireland",52.6702789,-8.614584899999999
332,"Coachford College, Coachford, Co Cork","Glebe, Coachford, Co. Cork, Ireland",51.9121113,-8.793301699999999
333,"St Mary''s CBS, Portlaoise, Co Laois","Borris Rd, Ratheven, Portlaoise, Co. Laois, Ireland",53.0499161,-7.279241
334,"Patrician Secondary School, Newbridge, Co Kildare","Naas Rd, Piercetown, Newbridge, Co. Kildare, Ireland",53.1845071,-6.7925469
335,"St Muredach''s College, Ballina, Co Mayo","Sligo Rd, Abbeyhalfquarter, Ballina, Co. Mayo, Ireland",54.1151634,-9.1430837
336,"Castlecomer Community School, Castlecomer, Co Kilkenny","Castlecomer Community School, Donaguile, Castlecomer, Co. Kilkenny, Ireland",52.8036808,-7.2156799
337,"Dominican College Sion Hill, Blackrock, Co Dublin","Cross Ave, Blackrock, Dublin, A94 TP97, Ireland",53.3016723,-6.189702
338,"Abbey Vocational School, Donegal, ","Glebe, Co. Donegal, Ireland",54.64865899999999,-8.112553
339,"St Mary''s College, Ballysadare, Co Sligo","Ballysadare, Knockmuldoney, Ballisodare, Co. Sligo, Ireland",54.2100573,-8.5115243
340,"St Jarlath''s College, Tuam, Co Galway","Bishop St, Townparks (4th Division), Tuam, Co. Galway, Ireland",53.5153514,-8.8478015
341,"Ard Scoil na nDeise, Dungarvan, Co Waterford","Sli Na Mara, Convent Row, Dungarvan, Co. Waterford, Ireland",52.0873907,-7.618377799999999
342,"Scoil na mBraithre Chriostai, Charleville, Co Cork","Bakers Rd, Ballysallagh, Charleville, Co. Cork, Ireland",52.3537589,-8.678899699999999
343,"Colaiste Bhride, Carnew, Co Wicklow","Coláiste Bhríde, Carnew, Co. Wicklow, Ireland",52.70985599999999,-6.5019658
344,"Clonaslee Vocational School, Clonaslee, Co Laois","Corbally, Co. Laois, Ireland",53.1455966,-7.5139869
345,"Virginia College, Virginia, Co Cavan","Virginia, Rahardrum, Virginia, Co. Cavan, Ireland",53.8317736,-7.0845831
346,"Colaiste Mhuire, Tourmakeady, Co Mayo (G)","Carheen, Tourmakeady, Co. Mayo, Ireland",53.6654081,-9.350634
347,"Millstreet Community School, Millstreet, Co Cork","Coomlogane, Millstreet, Co. Cork, Ireland",52.06227699999999,-9.0690189
348,"Colaiste Mhuire, Mullingar, Co Westmeath","College St, Commons, Mullingar, Co. Westmeath, N91 AT04, Ireland",53.527257,-7.3468931
349,"Ballyhaunis Community School, Ballyhaunis, Co Mayo","Knock Rd, Tooraree, Ballyhaunis, Co. Mayo, Ireland",53.7652628,-8.780729
350,"Presentation Community College, Terenure, Dublin 6W","Terenure Park, Terenure, Dublin, D6W CP28, Ireland",53.3108882,-6.286360699999999
351,"St Joseph''s Secondary School, Ballybunion, Co Kerry","R551, Doon West, Co. Kerry, Ireland",52.5172998,-9.6738562
352,"St Mel''s College, Longford, ","St Mel's Rd, Deanscurragh, Longford, Ireland",53.7289198,-7.7937244
353,"Colaiste Sheosaimh, Ballinasloe, Co Galway","Garbally Park, Mackney, Brackernagh (Clancarty), Ballinasloe, Co. Galway, Ireland",53.3237275,-8.247847
354,"St Brigid''s College, Callan, Co Kilkenny","3 Flaggy Ln, Callan North, Callan, Co. Kilkenny, R95 E0H7, Ireland",52.54800789999999,-7.388922599999999
355,"St Brigid''s Vocational School, Loughrea, Co Galway","Mt Pleasant, Baunoge, Loughrea, Co. Galway, Ireland",53.1952867,-8.55951
356,"Colaiste Treasa, Kanturk, Co Cork","Greenane Street Upper, Bluepool, Co. Cork, Ireland",52.1779891,-8.9009388
357,"St Munchin''s College, Corbally, Limerick","Corbally Rd, Limerick, Ireland",52.6820057,-8.614065799999999
358,"St Joseph''s Secondary School, Rush, Co Dublin","Convent Ln, Rush, Co. Dublin, Ireland",53.5201959,-6.0910681
359,"Colaiste Bhreanainn, Killarney, Co Kerry","New Rd, Inch, Killarney, Co. Kerry, Ireland",52.06101169999999,-9.5169263
360,"Athlone Community College, Retreat Road, Co Westmeath","Retreat Rd, Retreat, Athlone, Co. Westmeath, N37 Y985, Ireland",53.4242631,-7.9206865
361,"Killina Presentation Secondary School, Tullamore, Co Offaly","Rahan Rd, Killina, Tullamore, Co. Offaly, Ireland",53.2708404,-7.5961768
362,"St Joseph''s Secondary School, Stanhope Street, Dublin 7","7 Stanhope St, Stoneybatter, Dublin 7, D07 W0Y0, Ireland",53.3526,-6.2819048
363,"Colaiste Cholmcille, Inverin, Co Galway (G)","Aille, Inverin, Co. Galway, Ireland",53.2446698,-9.3904651
364,"St Brendan''s College, Belmullet, Co Mayo","Saint Brendan's College, Belmullet, Co. Mayo, Ireland",54.2148735,-9.9789984
365,"Carrigallen Vocational School, Carrigallen, Co Leitrim","Carrigallen, Clooncorick, Carrigallen, Co. Leitrim, Ireland",53.9795381,-7.647757999999999
366,"Blackwater Community School, Lismore, Co Waterford","Lismore, Ballyanchor Road, Co. Waterford, P51 N472, Ireland",52.1351178,-7.940269900000001
367,"Mercy College, Sligo, 5*Mercy College","Chapel Hill, Abbeyquarter South, Sligo, Ireland",54.26728300000001,-8.4670677
368,"Colaiste na Trocaire, Rathkeale, Co Limerick","Ballywilliam, Abbeylands, Rathkeale, Co. Limerick, Ireland",52.520051,-8.934068
369,"Castleisland Community College, Castleisland, Co Kerry","Castleisland Community College, Tonbwee, Castleisland, Co. Kerry, Ireland",52.22729990000001,-9.4567093
370,"Coláiste Íosagáin, Portarlington, Co Laois","Kilmalogue, Portarlington, Co. Offaly, Ireland",53.1620053,-7.2038984
371,"Kilrush Community School, Kilrush, Co Clare","Kilrush, Co. Clare, Ireland",52.6423229,-9.4836843
372,"St Joseph''s Community School, Charlestown,  Co Mayo","Lowpark Ave, Lowpark, Charlestown, Co. Mayo, Ireland",53.960325,-8.801421999999999
373,"Colaiste na hInse, Bettystown, Co Meath","Ninch, Bettystown, Co. Meath, Ireland",53.69277719999999,-6.244580699999999
374,"Schull Community College, Schull, Co Cork","Colla Road, Skull, Schull, Co. Cork, Ireland",51.5224824,-9.546703899999999
375,"De La Salle Secondary School, Dundalk, Co Louth","Castleblayney Rd, Castletown, Dundalk, Co. Louth, Ireland",54.0164969,-6.4277799
376,"Colaiste Ris, Dundalk, Co Louth","46 Clanbrassil St, Townparks, Dundalk, Co. Louth, A91 F882, Ireland",54.0074434,-6.401475599999999
377,"St Fergal''s College, Rathdowney, Co Laois","Saint Fergal's College, Church St, Rathdowney, Co. Laois, Ireland",52.854399,-7.577092500000001
378,"Blessington Community College, Naas Road, Co Wicklow","Naas Rd, Blessington, Co. Wicklow, Ireland",53.1695369,-6.5391134
379,"St Oliver Post Primary, Kells, Co Meath","4-2 Cavan St, Oldcastle, Co. Meath, Ireland",53.7719608,-7.1625026
380,"St Aidan''s Comprehensive School, Cootehill, Co Cavan","Station Rd, Lisnasaran, Cootehill, Co. Cavan, Ireland",54.066793,-7.062664
381,"Mercy Secondary School, Ballymahon, Co Longford","Ballymahon, Co. Longford, Ireland",53.56599300000001,-7.767396199999999
382,"Presentation College, Bray, Co Wicklow","Headlands, Newcourt, Bray, Co. Wicklow, Ireland",53.1928723,-6.1013037
383,"St Joseph''s Secondary School, Rochfortbridge, Co Westmeath","Castlelost Road, Castlelost, Rochfortbridge, Co. Westmeath, Ireland",53.41407179999999,-7.302465300000001
384,"St Brendan''s Community School, Birr, Co Offaly ","Birr, Townparks, Birr, Co. Offaly, Ireland",53.1050072,-7.916319700000001
385,"St Joseph''s Secondary School, Co Mayo, 3St Joseph''s Secondary School","Providence Rd, Foxford, Co. Mayo, Ireland",53.9817013,-9.111371499999999
386,"St Mac Dara''s Community College, Templeogue, Dublin 6W","Wellington Ln, Templeogue, Dublin 6W, Co. Dublin, Ireland",53.2970834,-6.3268266
387,"Hartstown Community School, Clonsilla, Dublin 15","Hartstown Rd, Blakestown, Dublin 15, D15 X049, Ireland",53.3961378,-6.416056299999999
388,"Ardscoil na mBraithre, Clonmel, Co Tipperary","35 Kickham St, Burgagery-Lands East, Clonmel, Co. Tipperary, Ireland",52.35692330000001,-7.6985544
389,"Scoil na Trionoide Naofa, Doon, Co Limerick","Lisgaugh, Doon, Co. Limerick, Ireland",52.6008025,-8.2444812
